architecture,error_metric,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
CNN,0,segmentation,30,480,3,tanh,1e-05,16,0.4699219,3,indian-pines,0.6412580298507463
CNN,0,segmentation,30,480,1,elu,0.01,32,0.001953125,3,indian-pines,0.0026652452025586353
CNN,0,segmentation,30,480,4,relu,0.01,8,0.7152344,3,indian-pines,0.9760128272921109
CNN,0,segmentation,30,480,1,sigmoid,0.0001,64,0.58515626,3,indian-pines,0.7985074763326226
CNN,0,segmentation,30,480,5,sigmoid,0.0001,16,0.5515625,3,indian-pines,0.7526652452025586
CNN,0,segmentation,30,480,5,relu,0.001,64,0.625,3,indian-pines,0.8528784648187634
CNN,0,segmentation,30,480,1,elu,0.001,8,0.6964844,3,indian-pines,0.950426473347548
CNN,0,segmentation,30,480,1,relu,0.01,128,0.71796876,3,indian-pines,0.9797441501066099
CNN,0,segmentation,30,480,2,relu,0.01,8,0.73164064,3,indian-pines,0.9984008733475479
CNN,0,segmentation,30,480,2,elu,1e-05,16,0.5453125,3,indian-pines,0.744136460554371
CNN,0,segmentation,30,480,2,tanh,0.01,8,0.7296875,3,indian-pines,0.9957356076759063
CNN,0,segmentation,30,480,5,relu,1e-05,8,0.059765625999999995,3,indian-pines,0.08155650456289978
CNN,0,segmentation,30,480,3,tanh,0.01,16,0.7121094,3,indian-pines,0.9717484349680171
CNN,0,segmentation,30,480,3,relu,0.01,8,0.7277344,3,indian-pines,0.9930703965884862
CNN,0,segmentation,30,480,2,tanh,0.01,128,0.6890625,3,indian-pines,0.9402985074626866
CNN,0,segmentation,30,480,3,elu,0.01,32,0.7078125,3,indian-pines,0.9658848614072494
CNN,0,segmentation,30,480,4,elu,1e-05,16,0.5800781,3,indian-pines,0.7915777910447762
CNN,0,segmentation,30,480,5,relu,1e-05,64,0.5253906,3,indian-pines,0.7169509253731344
CNN,0,segmentation,30,480,1,sigmoid,0.001,8,0.69257814,3,indian-pines,0.9450959692963752
CNN,0,segmentation,30,480,5,elu,0.0001,32,0.56875,3,indian-pines,0.7761194029850746
CNN,0,segmentation,30,480,3,tanh,0.0001,32,0.5097656,3,indian-pines,0.6956289637526654
CNN,0,segmentation,30,480,4,sigmoid,0.01,8,0.69609374,3,indian-pines,0.9498933765458423
